Molecule,Atom 1,Atom 2,Bond Length,Cos Part Angles,Cos(Length),InRing_B,Mayer,Elecneg_1,Ele_1,Elecneg_2,Ele_2,InConj_1,InConj_2,InRing_1,InRing_2,Bond Type,MullikenCharge1,MullikenCharge2,Neighbour1,Neighbour2,MaxRing,Ratio,IsBroken
4009,20,17,1.508436433,0.851831024,1.284932951,0,1.06342164,2.55,0,2.55,0,0,0,0,0,0,0.062928,0.044479,1,3,0,0,0
4009-2,7,8,1.5160305,0.999684337,1.515551944,3,0.83050718,2.55,0,2.55,0,0,0,3,3,0,-0.216327,-0.146841,4,4,3,0.333333333,1
4009-2,8,16,1.52744274,0.86789131,1.325654281,0,0.89209419,2.55,0,2.55,0,1,0,3,0,0,-0.146841,0.039423,4,3,0,0,0
4009-2,17,7,1.514002935,0.756776726,1.145762185,0,0.91452758,2.55,0,2.55,0,0,1,0,3,0,0.049688,-0.216327,3,4,0,0,0
4009-2,16,24,1.513628025,0.850678103,1.287610217,0,1.04113993,2.55,0,2.55,0,0,0,0,0,0,0.039423,0.056179,3,1,0,0,0
4009-2,20,17,1.50853135,0.84993865,1.282159099,0,1.05905911,2.55,0,2.55,0,0,0,0,0,0,0.059875,0.049688,1,3,0,0,0
4010,7,8,1.530203104,0.998351182,1.527680077,3,0.81247495,2.55,0,2.55,0,0,0,3,3,0,-0.065885,-0.177588,4,4,3,0.333333333,1
4010,13,7,1.511852095,0.805567768,1.217899317,0,0.88386797,2.55,0,2.55,0,0,0,0,3,0,0.267453,-0.065885,3,4,0,0,0
4010,8,12,1.511849285,0.993894331,1.502618433,0,0.91188082,2.55,0,2.55,0,0,0,3,0,0,-0.177588,0.247892,4,3,0,0,0
4010,25,16,1.430579238,0.861722753,1.23276268,0,0.91229007,2.55,0,3.44,1,0,0,0,0,1,0.194604,-0.28275,1,2,0,0,0
4010,17,29,1.429785228,0.862013027,1.232493493,0,0.90970671,3.44,1,2.55,0,0,0,0,0,1,-0.301032,0.19885,2,1,0,0,0
4010,12,17,1.335830528,0.693947157,0.926995797,0,1.20597234,2.55,0,3.44,1,0,0,0,0,1,0.247892,-0.301032,3,2,0,0,0
4010,16,13,1.330918007,0.689592136,0.917790591,0,1.22964088,3.44,1,2.55,0,0,0,0,0,1,-0.28275,0.267453,2,3,0,0,0
4010-2,7,8,1.536073556,0.999759197,1.535703665,3,0.81199942,2.55,0,2.55,0,0,0,3,3,0,-0.129337,-0.153318,4,4,3,0.333333333,1
4010-2,8,12,1.511921195,0.937709754,1.417743252,0,0.90539517,2.55,0,2.55,0,0,0,3,0,0,-0.153318,0.213545,4,3,0,0,0
4010-2,13,7,1.51066622,0.781049537,1.179905152,0,0.92491172,2.55,0,2.55,0,0,0,0,3,0,0.272157,-0.129337,3,4,0,0,0
4010-2,17,29,1.431384305,0.859560633,1.230361598,0,0.91115807,3.44,1,2.55,0,0,0,0,0,1,-0.311222,0.196394,2,1,0,0,0
4010-2,25,16,1.429011103,0.859801959,1.228666545,0,0.91489018,2.55,0,3.44,1,0,0,0,0,1,0.196564,-0.298109,1,2,0,0,0
4010-2,12,17,1.343671948,0.681628895,0.915885625,0,1.17976906,2.55,0,3.44,1,0,0,0,0,1,0.213545,-0.311222,3,2,0,0,0
4010-2,16,13,1.341833001,0.678158729,0.909975762,0,1.22216091,3.44,1,2.55,0,0,0,0,0,1,-0.298109,0.272157,2,3,0,0,0
4011,7,8,1.555737153,0.999058549,1.554272502,3,0.91777701,2.55,0,2.55,0,0,0,3,3,0,-0.293273,-0.257017,4,4,3,0.333333333,1
4011,16,23,1.534337876,0.845406311,1.297138923,0,1.10428867,2.55,0,2.55,0,0,0,0,0,0,0.108253,0.008211,2,1,0,0,0
4011,19,17,1.531760643,0.863220599,1.32224734,0,1.13703261,2.55,0,2.55,0,0,0,0,0,0,0.024588,0.086085,1,2,0,0,0
4011,17,7,1.526481215,0.889519957,1.357835506,0,1.0536935,2.55,0,2.55,0,0,1,0,3,0,0.086085,-0.293273,2,4,0,0,0
4011,8,16,1.525085614,0.766243232,1.16858653,0,1.04164688,2.55,0,2.55,0,1,0,3,0,0,-0.257017,0.108253,4,2,0,0,0
4012,7,8,1.530231295,0.986501247,1.509575081,3,0.78045164,2.55,0,2.55,0,0,0,3,3,0,-0.125824,-0.10763,4,4,3,0.333333333,1
4012,17,7,1.540379996,0.784700425,1.208736838,0,0.84942399,2.55,0,2.55,0,0,0,0,3,0,0.086475,-0.125824,3,4,0,0,0
4012,8,16,1.524147819,0.755765265,1.15189798,0,0.92117718,2.55,0,2.55,0,0,0,3,0,0,-0.10763,0.056481,4,3,0,0,0
4012,16,24,1.518908964,0.861703457,1.308849105,0,1.06914823,2.55,0,2.55,0,0,0,0,0,0,0.056481,0.077761,3,1,0,0,0
4012,20,17,1.502454839,0.851103865,1.27874512,0,1.056937,2.55,0,2.55,0,0,0,0,0,0,0.057948,0.086475,1,3,0,0,0
4012-2,7,8,1.511521716,0.999088611,1.510144131,3,0.82753656,2.55,0,2.55,0,0,0,3,3,0,-0.124851,-0.13106,4,4,3,0.333333333,1
4012-2,17,7,1.539356681,0.90721131,1.396521791,0,0.86325171,2.55,0,2.55,0,0,0,0,3,0,0.078657,-0.124851,3,4,0,0,0
4012-2,8,16,1.530506109,0.768632181,1.176396249,0,0.8960261,2.55,0,2.55,0,0,0,3,0,0,-0.13106,0.045005,4,3,0,0,0
4012-2,16,24,1.514430411,0.851292659,1.289223491,0,1.05086505,2.55,0,2.55,0,0,0,0,0,0,0.045005,0.064342,3,1,0,0,0
4012-2,20,17,1.510247564,0.844998491,1.276156912,0,1.0462277,2.55,0,2.55,0,0,0,0,0,0,0.038992,0.078657,1,3,0,0,0
4013,4,1,1.529294788,0.934632545,1.42932868,5,0.96769901,2.55,0,2.55,0,0,0,5,5,0,0.00264,-0.096664,3,3,5,0.2,1
4013,5,4,1.524368088,0.77358334,1.179225757,0,0.90405665,2.55,0,2.55,0,0,0,0,5,0,0.174827,0.00264,3,3,0,0,0
4013,11,22,1.508797265,0.999951468,1.50872404,0,0.95363562,2.55,0,2.55,0,1,0,6,0,0,-0.095334,0.549081,3,4,0,0,0
4013,1,8,1.472396677,0.971588384,1.430563508,0,1.02271613,2.55,0,2.55,0,0,1,5,6,0,-0.096664,0.136876,3,3,0,0,0
4013,18,6,1.432656302,0.859615225,1.23153317,0,0.90784197,2.55,0,3.44,1,0,0,0,0,1,0.18777,-0.306401,1,2,0,0,0
4013,6,5,1.344646152,0.685028458,0.92112088,0,1.1658276,3.44,1,2.55,0,0,0,0,0,1,-0.306401,0.174827,2,3,0,0,0
