Molecule,Atom 1,Atom 2,Bond Length,Elecneg_1,Ele_1,Elecneg_2,Ele_2,InConj_1,InConj_2,InRing_1,InRing_2,Neighbour1,Neighbour2
4008,5,6,1.352437233,2.55,0,2.55,0,0,0,6,6,3,2
4008,7,31,1.549027645,2.55,0,2.55,0,0,0,7,7,2,2
4008,2,12,1.546434392,2.55,0,2.55,0,0,0,5,0,4,3
4008,19,20,1.535681623,2.55,0,2.55,0,0,0,0,0,2,1
4008,30,31,1.530366201,2.55,0,2.55,0,0,0,7,7,2,2
4008,5,7,1.518127195,2.55,0,2.55,0,0,0,6,7,3,2
4008,1,28,1.513320325,2.55,0,2.55,0,0,0,5,7,3,3
4008,12,14,1.510293209,2.55,0,2.55,0,0,0,0,0,3,1
4008,18,19,1.50193902,2.55,0,2.55,0,0,0,0,0,2,2
4008,29,30,1.43573932,3.44,1,2.55,0,0,0,7,7,2,2
4008,28,29,1.353040776,2.55,0,3.44,1,0,0,7,7,3,2
4008,0,18,1.33999349,2.55,0,2.55,0,0,0,5,0,3,2
4008,3,8,1.214847187,2.55,0,3.44,1,0,0,6,0,3,1
4008,12,13,1.206770987,2.55,0,3.44,1,0,0,0,0,3,1
4008,28,38,1.204965344,2.55,0,3.44,1,0,0,7,0,3,1
4009,7,13,1.540108434,2.55,0,2.55,0,0,0,3,3,4,2
4009,6,7,1.524492454,2.55,0,2.55,0,0,0,5,3,3,4
4009,7,8,1.5162336,2.55,0,2.55,0,0,0,3,3,4,4
4009,5,8,1.515945855,2.55,0,2.55,0,0,0,5,3,3,4
4009,8,13,1.498695383,2.55,0,2.55,0,0,0,3,3,4,2
4009,1,6,1.48944531,2.55,0,2.55,0,0,0,5,5,3,3
4009,1,5,1.356926165,2.55,0,2.55,0,0,0,5,5,3,3
4009,8,16,1.527734266,2.55,0,2.55,0,0,0,3,0,4,3
4009,16,24,1.513674118,2.55,0,2.55,0,0,0,0,0,3,1
4009,7,17,1.512733141,2.55,0,2.55,0,0,0,3,0,4,3
4009,17,20,1.508436433,2.55,0,2.55,0,0,0,0,0,3,1
4009,0,1,1.49567921,2.55,0,2.55,0,0,0,0,5,1,3
4009,5,9,1.495532776,2.55,0,2.55,0,0,0,5,0,3,1
4009,6,18,1.215044219,2.55,0,3.44,1,0,0,5,0,3,1
4009,17,19,1.214319018,2.55,0,3.44,1,0,0,0,0,3,1
4009,16,28,1.209008927,2.55,0,3.44,1,0,0,0,0,3,1
4009-2,7,13,1.536999298,2.55,0,2.55,0,0,0,3,3,4,2
4009-2,6,7,1.525245729,2.55,0,2.55,0,0,0,5,3,3,4
4009-2,7,8,1.516030499,2.55,0,2.55,0,0,0,3,3,4,4
4009-2,5,8,1.51570929,2.55,0,2.55,0,0,0,5,3,3,4
4009-2,8,13,1.500517663,2.55,0,2.55,0,0,0,3,3,4,2
4009-2,1,6,1.489256265,2.55,0,2.55,0,0,0,5,5,3,3
4009-2,1,5,1.35706693,2.55,0,2.55,0,0,0,5,5,3,3
4009-2,8,16,1.52744274,2.55,0,2.55,0,0,0,3,0,4,3
4009-2,7,17,1.514002935,2.55,0,2.55,0,0,0,3,0,4,3
4009-2,16,24,1.513628025,2.55,0,2.55,0,0,0,0,0,3,1
4009-2,17,20,1.50853135,2.55,0,2.55,0,0,0,0,0,3,1
4009-2,0,1,1.495669466,2.55,0,2.55,0,0,0,0,5,1,3
4009-2,5,9,1.495590279,2.55,0,2.55,0,0,0,5,0,3,1
4009-2,6,18,1.214905871,2.55,0,3.44,1,0,0,5,0,3,1
4009-2,17,19,1.213771924,2.55,0,3.44,1,0,0,0,0,3,1
4009-2,16,28,1.209221014,2.55,0,3.44,1,0,0,0,0,3,1
4010,6,7,1.550938474,2.55,0,2.55,0,0,0,5,3,3,4
4010,1,5,1.546993762,2.55,0,2.55,0,0,0,5,5,4,2
4010,5,8,1.539397473,2.55,0,2.55,0,0,0,5,3,2,4
4010,1,6,1.538105836,2.55,0,2.55,0,0,0,5,5,4,3
4010,7,8,1.530203104,2.55,0,2.55,0,0,0,3,3,4,4
4010,8,9,1.526108381,2.55,0,2.55,0,0,0,3,3,4,4
4010,7,9,1.495797743,2.55,0,2.55,0,0,0,3,3,4,4
4010,1,19,1.551912877,2.55,0,2.55,0,0,0,5,0,4,1
4010,0,1,1.530433654,2.55,0,2.55,0,0,0,0,5,1,4
4010,7,13,1.511852095,2.55,0,2.55,0,0,0,3,0,4,3
4010,8,12,1.511849285,2.55,0,2.55,0,0,0,3,0,4,3
4010,16,25,1.430579238,3.44,1,2.55,0,0,0,0,0,2,1
4010,17,29,1.429785228,3.44,1,2.55,0,0,0,0,0,2,1
4010,12,17,1.335830528,2.55,0,3.44,1,0,0,0,0,3,2
4010,13,16,1.330918007,2.55,0,3.44,1,0,0,0,0,3,2
4010,12,18,1.206735907,2.55,0,3.44,1,0,0,0,0,3,1
4010,13,15,1.206245313,2.55,0,3.44,1,0,0,0,0,3,1
4010,6,14,1.199674165,2.55,0,3.44,1,0,0,5,0,3,1
4010-2,1,5,1.549581829,2.55,0,2.55,0,0,0,5,5,4,2
4010-2,5,8,1.545480809,2.55,0,2.55,0,0,0,5,3,2,4
4010-2,1,6,1.542715745,2.55,0,2.55,0,0,0,5,5,4,3
4010-2,6,7,1.539665142,2.55,0,2.55,0,0,0,5,3,3,4
4010-2,7,8,1.536073556,2.55,0,2.55,0,0,0,3,3,4,4
4010-2,7,9,1.524115541,2.55,0,2.55,0,0,0,3,3,4,4
4010-2,8,9,1.497425182,2.55,0,2.55,0,0,0,3,3,4,4
4010-2,0,1,1.548967108,2.55,0,2.55,0,0,0,0,5,1,4
4010-2,1,19,1.529757462,2.55,0,2.55,0,0,0,5,0,4,1
4010-2,8,12,1.511921195,2.55,0,2.55,0,0,0,3,0,4,3
4010-2,7,13,1.51066622,2.55,0,2.55,0,0,0,3,0,4,3
4010-2,17,29,1.431384305,3.44,1,2.55,0,0,0,0,0,2,1
4010-2,16,25,1.429011103,3.44,1,2.55,0,0,0,0,0,2,1
4010-2,12,17,1.343671948,2.55,0,3.44,1,0,0,0,0,3,2
4010-2,13,16,1.341833001,2.55,0,3.44,1,0,0,0,0,3,2
4010-2,13,15,1.203408683,2.55,0,3.44,1,0,0,0,0,3,1
4010-2,12,18,1.20197863,2.55,0,3.44,1,0,0,0,0,3,1
4010-2,6,14,1.199817103,2.55,0,3.44,1,0,0,5,0,3,1
4011,7,8,1.555735739,2.55,0,2.55,0,1,1,3,3,4,4
4011,6,7,1.530201331,2.55,0,2.55,0,1,1,5,3,3,4
4011,5,8,1.51723619,2.55,0,2.55,0,1,1,5,3,3,4
4011,7,13,1.502258326,2.55,0,2.55,0,1,0,3,3,4,4
4011,8,13,1.498891953,2.55,0,2.55,0,1,0,3,3,4,4
4011,1,6,1.483312863,2.55,0,2.55,0,1,1,5,5,3,3
4011,1,5,1.356267279,2.55,0,2.55,0,1,1,5,5,3,3
4011,16,23,1.534337876,2.55,0,2.55,0,0,0,0,0,2,1
4011,17,19,1.531760643,2.55,0,2.55,0,0,0,0,0,2,1
4011,7,17,1.526481215,2.55,0,2.55,0,1,0,3,0,4,2
4011,8,16,1.525085614,2.55,0,2.55,0,1,0,3,0,4,2
4011,5,9,1.49590713,2.55,0,2.55,0,1,0,5,0,3,1
4011,0,1,1.495167994,2.55,0,2.55,0,0,1,0,5,1,3
4011,6,18,1.212729397,2.55,0,3.44,1,1,0,5,0,3,1
4012,1,5,1.555927396,2.55,0,2.55,0,0,0,5,5,3,3
4012,5,8,1.551792201,2.55,0,2.55,0,0,0,5,3,3,4
4012,6,7,1.534790793,2.55,0,2.55,0,0,0,5,3,3,4
4012,8,13,1.531151627,2.55,0,2.55,0,0,0,3,3,4,4
4012,7,8,1.530231295,2.55,0,2.55,0,0,0,3,3,4,4
4012,1,6,1.528753084,2.55,0,2.55,0,0,0,5,5,3,3
4012,7,13,1.498186077,2.55,0,2.55,0,0,0,3,3,4,4
4012,7,17,1.540379996,2.55,0,2.55,0,0,0,3,0,4,3
4012,5,9,1.538326494,2.55,0,2.55,0,0,0,5,0,3,1
4012,0,1,1.530473842,2.55,0,2.55,0,0,0,0,5,1,3
4012,13,14,1.529085327,2.55,0,2.55,0,0,0,3,0,4,3
4012,8,16,1.524147819,2.55,0,2.55,0,0,0,3,0,4,3
4012,16,24,1.518908964,2.55,0,2.55,0,0,0,0,0,3,1
4012,17,20,1.502454839,2.55,0,2.55,0,0,0,0,0,3,1
4012,31,32,1.432193384,3.44,1,2.55,0,0,0,0,0,2,1
4012,14,31,1.336833172,2.55,0,3.44,1,0,0,0,0,3,2
4012,16,28,1.212165535,2.55,0,3.44,1,0,0,0,0,3,1
4012,17,19,1.207504268,2.55,0,3.44,1,0,0,0,0,3,1
4012,6,18,1.204378495,2.55,0,3.44,1,0,0,5,0,3,1
4012,14,36,1.202968102,2.55,0,3.44,1,0,0,0,0,3,1
4012-2,5,8,1.563582406,2.55,0,2.55,0,0,0,5,3,3,4
4012-2,1,5,1.5594604,2.55,0,2.55,0,0,0,5,5,3,3
4012-2,6,7,1.544301016,2.55,0,2.55,0,0,0,5,3,3,4
4012-2,1,6,1.532432812,2.55,0,2.55,0,0,0,5,5,3,3
4012-2,8,13,1.531221476,2.55,0,2.55,0,0,0,3,3,4,4
4012-2,7,13,1.516374484,2.55,0,2.55,0,0,0,3,3,4,4
4012-2,7,8,1.511521716,2.55,0,2.55,0,0,0,3,3,4,4
4012-2,7,17,1.539356681,2.55,0,2.55,0,0,0,3,0,4,3
4012-2,5,9,1.535007926,2.55,0,2.55,0,0,0,5,0,3,1
4012-2,8,16,1.530506109,2.55,0,2.55,0,0,0,3,0,4,3
4012-2,0,1,1.526788776,2.55,0,2.55,0,0,0,0,5,1,3
4012-2,16,24,1.514430411,2.55,0,2.55,0,0,0,0,0,3,1
4012-2,13,14,1.511950248,2.55,0,2.55,0,0,0,3,0,4,3
4012-2,17,20,1.510247564,2.55,0,2.55,0,0,0,0,0,3,1
4012-2,31,32,1.43224779,3.44,1,2.55,0,0,0,0,0,2,1
