Molecule,Force,Ave_BondLength,Ave_CosbondLength,Ave_MayerBonds,ReactionRingAtoms,BrokenInRatio,BondType,Ave_MullikenCharge1,Ave_MullikenCharge2
4032,3.9,1.572743292,1.52287238,0.998364,10,0.2,0,-0.348306,-0.02609
4033,4.7,1.565310554,1.335755956,1.02579792,30,0.333333333,0,-0.142623,-0.056882
4034,3.9,1.583637968,1.578365734,1.01462973,4,0.25,0,-0.359543,0.020218
4035,5.4,1.574859282,0.966156451,0.99109025,14,0.428571429,0,-0.138979,-0.069453
4037,4,1.871007443,1.541033255,0.93797223,0,0,7,-0.257641,-0.050053
4038,3.5,1.557902975,1.551632134,0.9800953,7,0.428571429,0,0.013975,0.078295
4039,4.4,1.473181748,1.341750151,1.0096916,4,0.25,2,-0.242611,0.170193
4040,4.4,1.582362078,1.226097833,1.02819626,4,0.25,0,-0.013178,0.127517
4041,6.1,1.428235941,1.220318805,0.98282403,4,0.25,4,-0.171249,-0.168148
4042,4.5,1.451048126,1.282628286,0.96726734,4,0.25,4,-0.221607,-0.193218
4043,4.3,1.563571919,1.022843064,0.94501468,14,0.428571429,0,-0.082214,0.34814
4044,4.1,1.504280745,1.358536061,0.96869965,15,0.333333333,2,-0.259034,0.074456
4045,3.1,1.867434049,1.535514262,1.03206309,10,0.3,7,-0.183039,0.111553
4046,3.3,2.042739005,1.558947453,1.14187372,0,0,6,-0.002053,0.00334
92,2.1,2.141217077,1.7109,0.99303505,0,0,6,-0.045082,-0.042799
4048,4.5,1.498212258,1.346106829,0.9847304,15,0.333333333,2,-0.253648,0.066902
4049,4.3,1.574678908,1.324870607,1.02396185,9,0.333333333,0,-0.021509,-0.012528
4050,4.3,1.593017472,1.425918055,1.02621842,9,0.333333333,0,-0.08648,-0.007518
4051,3.2,1.591551531,1.431994888,0.98322197,12,0.333333333,0,-0.041631,-0.0036
4052,4.1,1.587232824,1.412018783,1.0309106,9,0.333333333,0,-0.033435,0.04444
4053,2.6,1.62089809,1.454604453,0.99041381,10,0.3,0,0.075777,0.115483
4054,3.2,1.540677325,1.532346439,0.86402287,14,0.357142857,2,-0.157489,0.022823
4055,4,1.580310252,1.313131363,1.02343959,8,0.375,0,-0.00069,0.103734
4057,4.5,1.588222903,1.364764683,0.99325847,14,0.357142857,0,-0.242466,0.000906
4058,4.2,1.586603909,1.483506821,0.966568095,8,0.375,0,-0.03059,-0.002297
4059,3.4,1.502574837,1.113998337,0.95282959,0,0,2,-0.105042,-0.095781
4060,4.2,1.442298449,1.058009128,0.92855749,15,0.266666667,1,-0.304464,0.155148
4061,3.8,1.569588461,1.342667635,1.0146459,8,0.125,0,0.093598,0.173065
4062,3.6,1.586478605,1.399839984,1.00327863,7,0.142857143,0,0.13901,0.144238
4063,4.2,1.53916725,1.51145666,1.01521526,11,0.181818182,0,-0.044586,0.157993
4064,3.7,1.597901279,1.597854645,1.0190709,4,0.25,0,-0.007522,-0.005683
4065,4.3,1.588158439,1.235917863,1.01625574,4,0.25,0,-0.001798,0.020159
4066,3.8,1.584681417,1.58468133,1.04773932,4,0.25,0,-0.030003,-0.028754
4067,3.3,1.547351505,1.547343287,0.80250353,3,0.333333333,0,-0.208958,-0.141812
4068,5.7,1.521301929,1.204342422,0.87166826,3,0.333333333,0,-0.049057,-0.03608
4068-2,4.5,1.52557488,1.525539112,0.88635185,3,0.333333333,0,-0.041841,-0.035055
4069,3.4,1.536548207,1.535528647,0.893358,3,0.333333333,0,-0.006259,0.04817
4071,3.1,1.553405406,1.553351227,0.81012873,3,0.333333333,0,-0.208674,-0.183321
4072,3.6,1.597544148,1.579404992,0.98016582,4,0.25,0,-0.212293,-0.195045
4073,2.5,1.551990614,1.549814785,0.83094113,3,0.333333333,0,-0.181755,0.077661
4074,3.6,2.078793685,1.56852424,1.1077079,0,0,6,-0.058403,-0.057813
2258,4.4,1.514948583,1.5129,0.89985525,3,0.333333333,0,-0.220169,-0.128745
4077,3.7,1.540049323,1.539728891,0.88655357,3,0.333333333,0,-0.094488,-0.075919
4080,3.8,1.543616609,1.540037469,0.80955057,3,0.333333333,0,-0.157343,0.008376
4081,4.3,1.427076006,1.077670232,1.0017618,18,0.333333333,1,-0.308892,0.249442
4082,5,1.44117563,1.083915517,0.95220613,19,0.368421053,1,-0.288596,0.216103
4084,2.8,1.46329373,1.120564676,0.91921316,15,0.266666667,1,-0.296313,0.223142
