Molecule,Force,Ave_BondLength,Ave_CosbondLength,Ave_MayerBonds,ReactionRingAtoms,BrokenInRatio,BondType,Ave_MullikenCharge1,Ave_MullikenCharge2,MinLength,MaxLength,Elec_reac_max_mean,Elec_reac_min_mean,Nuc_reac_max_mean,Nuc_reac_min_mean
2031--,4.2,1.55215275,1.5393,0.91570318,10,0.3,0,0.019096,0.029063,7.60021456,19.7605579,0.0348,0.00661,0.13821,0.01312
2033b,3.8,1.84213221,1.6608,1.00762808,4,0.25,6,-0.093438,0.017198,13.8039954,26.0742135,0.00515,0.00115,0.01156,0.00532
2034b,4.2,1.8456286,0.7466,0.97431139,4,0.25,6,-0.0951625,0.0020415,13.7813065,26.0313567,0.00093,-0.00005,0.01749,0.00619
2037b,3.9,1.84531331,0.89995,0.97234389,4,0.25,6,-0.06646,-0.0154105,13.8065153,26.0789734,0.00655,0.00231,0.0171,0.01631
2040-2,4,1.59709954,1.3289,0.87052581,20,0.45,0,0.060165,0.060868,18.4208521,29.756761,0.01179,0.01171,0.02193,0.0218
2042-2,3.9,1.61098783,1.5768,0.9238018,16,0.4375,0,-0.171662,-0.167067,18.4456507,29.7968203,0.00901,0.00833,0.02429,0.01846
2043-2,2.8,1.58433542,1.5549,1.02680821,20,0.35,0,0.039051,0.076736,18.3778736,29.6873343,0.01302,0.01187,0.0358,0.03118
2043-2b,4.1,1.58433542,1.5549,1.02680821,20,0.45,0,0.039051,0.076736,15.6458325,27.0246197,0.01302,0.01187,0.0358,0.03118
2043b,5.2,1.58312132,1.331,1.02031572,20,0.45,0,0.028979,0.029188,15.6473897,27.0273094,0.01127,0.01123,0.03059,0.03039
2044-2,3.6,1.61264584,1.5849,0.95366399,20,0.35,0,-0.17687,-0.157247,18.4821621,29.8558003,0.01128,0.01072,0.01488,0.01441
2044-2b,4.5,1.61264584,1.5849,0.95366399,20,0.35,0,-0.17687,-0.157247,15.6678432,27.0626383,0.01128,0.01072,0.01488,0.01441
2044b,5.8,1.60824693,1.3053,0.94192052,20,0.45,0,-0.212452,-0.207679,15.6540728,27.038853,0.01007,0.00984,0.01635,0.01612
2052-2,4.9,1.58144208,1.3002,0.93272205,4,0.25,0,-0.204397,-0.154802,10.0382366,12.9063043,0.03849,0.03604,0.01438,0.01128
2053-2,5.4,1.56887787,1.1083,0.9783506,4,0.25,0,0.039588,0.059951,10.0322783,12.8986435,0.03034,0.02824,0.04498,0.04428
2054-2,4.7,1.5766781,1.2926,0.91533228,4,0.25,0,0.010577,0.044346,10.0552628,12.928195,0.04659,0.04299,0.02931,0.02831
2057-2,2.6,1.58440724,1.5607,0.98540577,12,0.25,0,0.149135,0.156784,10.7428857,23.0204693,0.01191,0.01046,0.06902,0.06326
2057-3,2.7,1.5826401,1.5504,0.99434298,12,0.25,0,0.131966,0.198893,10.7429576,23.0206234,0.01069,0.00977,0.07055,0.05725
2058-2,2.5,1.58526127,1.5538,0.98505929,12,0.25,0,0.115829,0.145267,10.7429689,23.0206477,0.01238,0.0122,0.06966,0.05866
2069-2,5.1,1.57516247,1.3404,1.00830723,4,0.25,0,-0.049862,-0.049435,21.4252536,24.2819541,0.00911,0.00905,0.04145,0.04113
