Molecule,SMILES,Force,Predicted Type 0,Predicted Type,Result,BeginAtom,EndAtom
4084,CC1(C)C2(OC(C(OC(C)=O)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CC4=CC=C(CN5C6=CC=CC=C6C(C)(C)C57OC(C(OC(C)=O)=CC([N+]([O-])=O)=C8)=C8C=C7)C=C4)C9=CC=CC=C91,2.8,6,6,1,42,90
4085,CN1C2=CC=C(NC)C=C2C(C)(C)C13OC(C=C(OC)C([N+]([O-])=O)=C4)=C4C=C3,5.3,6,6,1,38,45
4086,CCN1C2=CC=C([N+]([O-])=O)C=C2CC13SC(C(CC)=CC([N+]([O-])=O)=C4)=C4C=C3,2.5,6,6,1,37,45
4087,NC(C=C1)=C(C)C=C1C2(C3=CC=C(OC(C)=O)C=C3)C=CC4=C(C(C=C(OC(CC)O5)C5=C6)=C6C7=C4CCC8=C7C=CC=C8)O2,4.2,6,6,1,55,66
4088,COC(C=C1)=CC=C1C2(C3=CC=C(C)C=C3)C=CC4=C5C(C(C=CC=C6)=C6[C@]5(O)CC)=C7C(C=C(OC)C8=C7CCO8)=C4O2,4,6,6,1,37,54
4089,CC1(C2(C)C3=C(C(C=CC=C4)=C4C=C3)C5=C6C(C=CC=C6)=C(C)C=C52)C7=C(C(C=CC=C8)=C8C=C7)C9=C%10C(C=CC=C%10)=C(C)C=C91,4.4,7,7,1,15,20
4090,O=C1OC2=CC=CC=C2C(C3=CC=C(CO)C=C3)1C4(C(OC5=CC=CC=C45)=O)C(C=C6)=CC=C6CO,3.7,7,7,1,50,53
4091,COC(C=C1)=CC=C1C(C(C2=CC=C(OC)C=C2)=N3)=NC3(C4(N=C(C5=CC=C(OC)C=C5)C(C6=CC=C(OC)C=C6)=N4)C7=CC8=CC=C(C)C=C8C9=C7C=CC=C9)C%10=CC%11=CC=C(C)C=C%11C%12=C%10C=CC=C%12,3.6,7,7,1,27,85
4092,O=C(N(CCCCC)C1=O)C2=CC=CC3=C2C41C(C=CC=C5)=C5[C@H]3[C@H](C(C=CC=C6C(N7CCCCC)=O)=C6[C@]84C7=O)C9=C8C=CC=C9,2,3,3,1,61,80
4093,O=C1N(C2=CC(C(OC)=O)=C(Cl)C=C2)C([C@]3[C@]1([C@@]4(C5=CC=CC=C5)C(C6=CC=C(C)C=C6)=C(C7=CC=C(C)C=C7)[C@]3(C8=CC=CC=C8)C4=O))=O,6.2,2,2,0,11,78
4093-2,O=C1N(C2=CC(C(OC)=O)=C(Cl)C=C2)C([C@@]3([H])[C@@]1([C@@]4(C5=CC=CC=C5)C(C6=CC=C(C)C=C6)=C(C7=CC=C(C)C=C7)[C@]3(C8=CC=CC=C8)C4=O)[H])=O,5.5,2,2,1,11,65
4094,O=C1N(C2=C(C)C=C(C)C=C2)C([C@]3([H])[C@]1([C@@]4(CC)C(C5=CC=CC=C5)=C(C6=CC=CC=C6)[C@]3(C)C4=O)[H])=O,4,2,2,1,9,57
4095,O=C1N(C2=C([N+]([O-])=O)C=C(OC)C=C2)C([C@@]3([H])[C@@]1([C@@]4(CC)C(C5=CC=CC=C5)=C(C6=CC=CC=C6)[C@]3(CC)C4=O)[H])=O,4.9,2,2,1,48,56
4096,NC1=C([C@@]2(C3=C4C=CC=C3)[C@@](CC4)([H])[C@@H](C5=CC=C(C(C)=O)C=C5)[C@]1(C(C)=O)C2)C#N,4,2,2,1,11,49
4097,O=C1[C@@]2(C)[C@](C3=CC=CC=C3)([C@@]4(C)C(C5=CC=CC=C5)=C(C6=CC=CC=C6)[C@]2(C)C4=O)[C@@H](C7=CC=CC=C7)[C@H]1C,3.9,2,2,1,7,12
4098,CC(C=C1)=CC=C1[C@H]2[C@H](C3=CC=C(C)C=C3)C4=CC=CC=C42,3.2,5,5,1,34,38
4099,CC(N1C[C@@H](C2=CC(F)=CC(F)=C2)[C@@H](N3C4=C(N=N3)C=C(C5=NC(NC6=CC(C)=NN6C)=NC=C5)C=C4)C1)C,5.9,2-,2,0,59,73
4100,CCN1[C@]2([H])C3(CC)C=CC(N3C)[C@]2([H])N=N1,2.9,2-,2,1,20,27
4101,CC1=CC=C2C(C(C=CC=C3)=C3C2(OOC4(C5=NC(C6=CC=CC=C6)=NC(C7=CC=CC=C7)=N5)C8=C(C=CC=C8)C9=CC(C)=CC=C94)C%10=NC(C%11=CC=CC=C%11)=NC(C%12=CC=CC=C%12)=N%10)=C1,5.1,7,7,1,49,102
4102,COC(C=C1)=CC=C1C2(C3=CC=C(C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4)C=C3)C=CC7=C8C(C(C=CC=C9)=C9C8%10CCCCC%10)=C%11C(C=C(OC)C=C%11)=C7O2,4.2,6,6,1,37,52
4103,COC(C=C1)=CC=C1C2(C3=CC(C=CC=C4)=C4C=C3)C=CC5=C6C(C(C=C(C(F)(F)F)C=C7)=C7C6(C)C)=C8C(C=C(OC)C=C8)=C5O2,4,6,6,1,35,49
4104,O=C(C1=CC=C(C=C1)O)N/N=C2[C@H]3C=C(C[C@@H]3C/2)C,5,1,1,1,26,33
4105,O=C(OC)[C@H]1[C@H]([C@@H]([C@@H]1C(O)=O)C(N(CC(C=C2)=CC=C2OC3=CC=CC=C3)C(C)C)=O)C(N(C(C)C)CC4=CC=C(OC5=CC(OC(C)=O)=CC=C5)C=C4)=O,4.2,1,1,1,13,94
4106,COC(C=C1)=C(OC)C=C1[C@H]2[C@]3([H])[C@@]([H])(C(C)(C)OC(C(C=CC=C4)=C4N5CCOC(C)=O)=C3C5=O)[C@@H]2C6CCCC6,3.9,1,1,1,27,67
4106-2,COC(C=C1)=C(OC)C=C1[C@H]2[C@]3([H])[C@@]([H])(C(C)(C)OC(C(C=CC(OC(C)=O)=C4)=C4N5C)=C3C5=O)[C@@H]2C6CCCC6,4.1,1,1,1,51,71
4107,CC(C)(C)[C@]1(C#C)[C@@](C(C)(C)CC(C)(C)[C@]2(C#C)[C@@](C(C)(C)C)(C#C)CC2)(C#C)CC1,2.8,1,1,1,35,45
4108,O=C([C@H]1[C@@H](C2=O)[C@H]([C@H]1C3=CC=CC=C3)C(OC)=O)[C@@H]4[C@H]2[C@@H]([C@@H]4C5=CC=CC=C5)C(OC)=O,5.4,1,1,1,15,27
4109,C[C@H]1C2(C3=O)C(C(C)(C)C3C(C)=CC2)CC1,3.9,8,8,1,25,34
4110,O=C1[C@]2([C@H](C)CC/C=C(C)/C)[C@]3([H])[C@](C(C(O)=C([C@H](C)CC/C=C(C)/C)[C@@H]3OCCOC)=O)(C)[C@H]1C(C)=C(O)C2=O,3.7,8,8,1,61,44
4111,CC([C@]1(COC(C)=O)[C@]([C@]2(O)C([C@H](COC3)[C@H]3[C@@]1(C)C2=O)=O)([H])C4=O)=C(OC)C4=O,3.2,8,8,1,7,46
4112,O=C(C1=CC=C(C(OC)=O)C=C1)[C@@H]2[C@H](/C=C/C3=CC=C(C(OC)=O)C=C3)C=C(C4=CC=CC=C4)C=CN2S(C)(=O)=O,4.4,8,8,1,32,48
4113,O=C(C)[C@H]1N(S(=O)(C)=O)C=C(CCC2=C3C=CC=C2)C3=C[C@H]1C4=CC=C(CC)C=C4,4.9,10,9,1,44,51
4114,O=C(OC)C1=CN(CC2=CC=CC=C2)C=C[C@H](C(OCC)=O)[C@@H]1[C@@H](C(OCC)=O)C(O)=O,4.9,10,9,1,30,45
4115,O=C(OC)C1=CN(CCC2)C2=C[C@H](C(OCC)=O)[C@@H]1OCC,4.8,10,9,1,14,22
4116,O=C(OC)[C@@H]1N(CCC2=C3C=C(OC)C(OC)=C2)[C@]3([H])C=C(C4=CC=CC=C4)C5=C1C(C(OC)=O)=CC=C5,4,10,9,1,44,50
4117,O=C1C=C([C@]2([H])[C@@]([C@@](CC[C@]3([H])[C@H](C)C(OC)OC)([H])[C@]3(C)CC2)(O)C[C@H]4COC(C)=O)[C@@H]5[C@@]4([H])[C@@H](C(OC)=O)[C@@]1(C(OC)=O)O5,3.5,9,4,1,16,24
4118,OC(C1C2([C@]3([H])[C@H](C(C)=C)[C@@]4(C)C2=O)[C@]([C@@H](C)C3)([H])CC[C@@H]1C)C4=O,4.3,9,4,1,10,42
4119,O=C1C(C(C(C)=C2[C@@]13COC2O)=O)(O)[C@@]4(C5=O)[C@]3(C(C)=C(O)C5=O)[C@@H]6O[C@@H]4[C@H](C(OCC)=O)C6,4.4,9,4,1,10,41
4120,O=C(C1=CC=C(C2=CC=C(C)C=C2)C=C1)[C@@H]3N4C(C=CC=C4)=CC=C[C@H]3C5=CC=C(C)C=C5,3.4,10,9,1,41,56
4121,O=C(N(C1=CC=CC=C1)C2=O)C3=C2C=C4[C@@](C(CC)=N3)([H])C=C(C(OC)=O)C=C4,3,10,9,0,17,25
4122,O=C(N1CCN2C([C@@H]([C@H]3C2=O)[C@]4(OC(C)=O)C5=CC=CC=C5[C@H]3C6=C4C=CC=C6)=O)[C@@H]([C@H]7C1=O)[C@]8(OC(C)=O)C9=CC=CC=C9[C@H]7C%10=C8C=CC=C%10,4.2,2,2,1,35,50
89,FC1=C([C@]2(C=CC3=C(C(OC(C)=O)=CC4=CC=CC=C43)O2)C5=CC=C([C@]6(C7=C(C=CC=C7)F)C=CC(C8=CC=CC=C8C=C9OC(C)=O)=C9O6)S5)C=CC=C1,4.2,6,6,1,21,81
104,CC[C@@H](C1(F)F)[C@@H]1CC[C@@H](C2(F)F)[C@H]2CC,4.9,4,4,1,10,31
613,CCSCCSCC,4.4,7,7,1,0,17
748,CN1C2=CC=C(C#CC3=C(OC)C=C(C#CCCC)C(OC)=C3)C=C2C(C)(C)[C@]14OC(C=C(C#CC5=CC=C(C#CC6=CC=C(CCC)C=C6)C=C5)C([N+]([O-])=O)=C7)=C7C=C4,5.7,6,6,1,77,100
765,CCOC(C=C1)=CC=C1[C@@](O2)(C3=CC=C(N4CCCC4)C=C3)C=CC5=C2C(O[C@@](C6=CC=C(OCC)C=C6)(C7=CC=C(N8CCCC8)C=C7)C=C9)=C9C%10=C5C=CC=C%10,4.2,6,6,1,49,56
768,CN1[C@]2(C=CC(C=C([N+]([O-])=O)C(OC(C)=O)=C3[N+]([O-])=O)=C3O2)C(C)(C)C4=CC=C5C(C=CC6=C5N(C)[C@@]7(C=CC(C=C([N+]([O-])=O)C(OC(C)=O)=C8[N+]([O-])=O)=C8O7)C6(C)C)=C41,4.9,6,6,1,35,47
818-2,CN1C2=CC=C(C3=CN(C=C(OCC)C=C4)C4=N3)C(O)=C2C(C)(C)[C@]15OC(C(OC(C)=O)=CC(C#N)=C6)=C6C=C5,4.9,6,6,1,52,63
1003,CC1(C)[C@@]2(OC(C(OC(CC(C)CCC)=O)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CCOC(C(C)CC(C(OC)=O)CC(C(OC)=O)CC)=O)C4=CC=CC=C41,3.5,6,6,1,73,94
1004,CC1(C)[C@@]2(OC(C(OC(C)=O)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CCC(NC(CC4=CC=CC=C4)C(NC(C(OCC5=CC=CC=C5)=O)CCC(OC6=CC(OCC)=CC=C6)=O)=O)=O)C7=CC=CC=C71,2.5,6,6,1,33,117
1008,CC1(C)[C@@]2(OC(C(OC(C(OC=O)(CCC)OC=O)=O)=CC(C#N)=C3)=C3C=C2)N(CCOC(CC(CCC)(OC=O)OC=O)=O)C4=CC=CC=C41,2.8,6,6,1,57,76
1013,CN1C2=CC(OC(C3=CC=C(OCC)C=C3)=O)=CC=C2C(C)(C)[C@@]14C=CC(C=CC=C5OC(C6=CC=C(OCC)C=C6)=O)=C5O4,5.6,6,6,1,51,61
1028,CN1C2=CC=C(C3=CC=C4C5=C3C=CC=C5C6C7=C4C=C(C(C)=O)CC7=CC=C6)C=C2C(C)(C)[C@@]18OC(C(OC(C)=O)=CC=C9)=C9C=C8,4.7,6,6,1,35,72
1037,CC1(C)C2(/C=C/C3=C(O)C4=C(C=CC=C4)C=C3)N(CC(C=C([N+]([O-])=O)C=C5OCC)=C5O2)C6=CC=CC(OCC)=C61,3,6,6,1,33,42
2017,O=C1N(CCN(C(C23)=O)C(C2[C@H]4O[C@@]3(C=C4)CN5C(C(CC5=O)C(C)(C)CC)=O)=O)C(C6[C@]7(CN8C(CC(C(C)(CC)C)C8=O)=O)C=C[C@@H](O7)C61)=O,4,2,2,1,41,76
2018,O=C1N(C2=CC=C(CC3=CC=C(N(C(C45)=O)C(C4[C@H]6O[C@@]5(C=C6)CCOC(C)=O)=O)C=C3)C=C2)C(C7[C@]8(COC(C)=O)C=C[C@@H](O8)C71)=O,3.7,2,2,1,61,75
2075,O=C(OC)C1=CC=C(S1)[C@@H]2[C@@H](C(OC)=O)C[C@H]2C3=CC=C(C(OC)=O)C=C3,5,1,1,1,24,28
