Molecule,Force,Ave_BondLength,Ave_CosbondLength,Ave_MayerBonds,ReactionRingAtoms,BrokenInRatio,BondType,Ave_MullikenCharge1,Ave_MullikenCharge2
2232,5.2,1.532848419,1.1799,0.82580971,7,0.285714286,0,-0.218959,-0.006847
2234,2.9,1.534774085,1.5347,0.83272195,3,0.333333333,0,-0.009178,0.030232
2235,2.3,1.536877448,1.5363,0.90381905,3,0.333333333,0,-0.061578,0.065015
2236,3.5,1.527156415,1.5253,0.91377648,3,0.333333333,0,0.023781,0.10004
2237,3,1.549304037,1.5487,0.8309749,3,0.333333333,0,-0.016741,0.082534
2238,3.7,1.5296423,1.5296,0.88790757,3,0.333333333,0,-0.041998,-0.035863
2240,4.4,1.528322825,1.1896,0.85585274,3,0.333333333,0,-0.060591,0.209372
2241,3.9,1.529499157,1.2071,0.86187855,3,0.333333333,0,-0.065245,0.223727
2242,4.5,1.525610391,1.5224,0.90181273,3,0.333333333,0,0.003562,0.046684
2245,3,1.541613812,1.5411,0.86507198,3,0.333333333,0,-0.187744,0.088898
2246,3.6,1.51392122,1.5134,0.88743133,3,0.333333333,0,-0.065633,0.237047
2247,2.9,1.560634838,1.5602,0.82406602,3,0.333333333,0,-0.200131,-0.093114
2248,3.3,1.532060041,1.5316,0.8473478,3,0.333333333,0,-0.067121,0.045956
2249,3.8,1.526659932,1.5267,0.89259869,3,0.333333333,0,-0.008746,-0.006727
2250,3.5,1.718908189,1.0391,0.77397918,0,0,8,-0.3963,1.01887
2251,3.5,1.515664258,1.5157,0.94259522,3,0.333333333,0,-0.063478,-0.062711
2252,5.8,1.502212661,1.5013,0.99521485,3,0.333333333,0,-0.040765,0.002281
2253,5.3,1.489115848,1.5119,0.98269116,3,0.333333333,0,0.015327,0.019099
2254,4.2,1.497543313,1.4974,0.94872042,3,0.333333333,0,0.009938,0.074832
2256,4.3,1.492141823,1.4921,0.95171073,3,0.333333333,0,-0.072871,0.06974
2257,3.1,1.543065933,1.543,0.87788111,3,0.333333333,0,-0.059586,-0.034268
4076,4.8,1.503698736,1.153853796,0.96842167,3,0.333333333,0,-0.0553,0.027593
2259,4,1.814737044,1.6883,0.81334247,3,0.333333333,7,-0.0904705,0.800992
2260,5.5,1.508209443,1.1662,0.84848424,3,0.333333333,0,-0.021667,0.243191
2261,2.6,1.526851311,1.5265,0.86853833,3,0.333333333,0,-0.044756,0.229023
2262,5.3,1.493636765,1.4935,0.99510746,3,0.333333333,0,-0.012136,-0.00242
2263,5.1,1.526443048,1.5262,0.9532224,3,0.333333333,0,-0.007232,0.058918
2264,5.1,1.525672028,1.5255,0.95340799,3,0.333333333,0,-0.006396,0.059389
2265,3.5,1.537179379,1.5363,0.93871288,3,0.333333333,0,-0.144884,-0.048915
2266,3.7,1.78936546,1.6942,0.84553784,3,0.333333333,7,-0.056473,0.910677
2267,5.5,1.513326482,1.5132,0.97698246,3,0.333333333,0,-0.026518,0.082173
2268,3.5,1.797706559,1.4233,0.89920171,3,0.333333333,7,-0.013416,0.840468
2269,5.1,1.518901148,1.5189,0.97620078,3,0.333333333,0,-0.045756,0.088955
2270,5.6,1.500263874,1.5002,0.99361653,3,0.333333333,0,-0.046194,0.034408
2271,5.5,1.493091214,1.4926,1.00705814,3,0.333333333,0,0.008974,0.161242
2272,4.9,1.504651303,1.5033,0.98951934,0,0,0,0.0555,0.164244
2273,4,1.513535968,1.5119,0.96652748,3,0.333333333,0,0.049174,0.150852
2274,6,1.503197784,1.2193,1.00382139,9,0.444444444,0,-0.132601,0.074938
2275,6.1,1.475163602,1.1616,1.02609967,3,0.333333333,0,0.049941,0.229475
2276,2.4,1.581649126,1.5708,1.08120042,4,0.25,0,0.033155,0.08656
2277,4.5,1.562400463,1.5369,1.0362308,4,0.25,0,-0.092049,-0.049003
