Molecule,Atom 1,Atom 2,Bond Length,Elecneg_1,Ele_1,Elecneg_2,Ele_2,InConj_1,InConj_2,InRing_1,InRing_2,Neighbour1,Neighbour2
6,2,3,1.563946474,2.55,0,2.55,0,0,0,4,4,4,2
6,3,5,1.541805685,2.55,0,2.55,0,0,0,4,4,2,2
6,0,2,1.538614888,2.55,0,2.55,0,0,0,0,4,3,4
6,4,10,1.538484478,2.55,0,2.55,0,0,0,4,0,4,3
6,18,19,1.516702827,2.55,0,2.55,0,0,0,0,0,2,2
6,14,15,1.515976819,2.55,0,2.55,0,0,0,0,0,2,2
6,33,34,1.508113319,2.55,0,2.55,0,0,0,0,0,3,1
6,28,29,1.507854113,2.55,0,2.55,0,0,0,0,0,3,1
6,4,40,1.463685827,2.55,0,2.55,0,0,0,4,0,4,2
6,2,41,1.463485473,2.55,0,2.55,0,0,0,4,0,4,2
6,13,18,1.438922358,3.44,1,2.55,0,0,0,0,0,2,2
6,1,14,1.438433865,3.44,1,2.55,0,0,0,0,0,2,2
6,19,25,1.427870165,2.55,0,3.44,1,0,0,0,0,2,2
6,15,22,1.427161149,2.55,0,3.44,1,0,0,0,0,2,2
6,22,28,1.355382827,3.44,1,2.55,0,0,0,0,0,2,3
6,25,33,1.355083985,3.44,1,2.55,0,0,0,0,0,2,3
6,10,13,1.334862872,2.55,0,3.44,1,0,0,0,0,3,2
6,0,1,1.334493095,2.55,0,3.44,1,0,0,0,0,3,2
6,28,38,1.204042249,2.55,0,3.44,1,0,0,0,0,3,1
6,33,39,1.204041747,2.55,0,3.44,1,0,0,0,0,3,1
6,0,11,1.201219742,2.55,0,3.44,1,0,0,0,0,3,1
6,10,12,1.201203777,2.55,0,3.44,1,0,0,0,0,3,1
6,40,42,1.158410361,2.55,0,3.04,2,0,0,0,0,2,1
6,41,43,1.158386475,2.55,0,3.04,2,0,0,0,0,2,1
7,22,23,1.56932001,2.55,0,2.55,0,0,0,4,4,3,3
7,24,26,1.561777985,2.55,0,2.55,0,0,0,4,4,3,3
7,22,24,1.558842652,2.55,0,2.55,0,0,0,4,4,3,3
7,23,26,1.55442528,2.55,0,2.55,0,0,0,4,4,3,3
7,14,15,1.411755171,2.55,0,2.55,0,0,0,6,6,3,3
7,0,9,1.411441648,2.55,0,2.55,0,0,0,6,6,3,3
7,15,16,1.409472396,2.55,0,2.55,0,0,0,6,6,3,2
7,7,9,1.409385129,2.55,0,2.55,0,0,0,6,6,2,3
7,0,1,1.407036225,2.55,0,2.55,0,0,0,6,6,3,2
7,12,14,1.406758907,2.55,0,2.55,0,0,0,6,6,2,3
7,3,5,1.397893269,2.55,0,2.55,0,0,0,6,6,2,2
